"id","url","image_url","latitude","longitude","scientific_name","population_id"
151550759,"https://www.inaturalist.org/observations/151550759","https://inaturalist-open-data.s3.amazonaws.com/photos/261503691/medium.jpeg",37.1494611111,-121.7932027778,"Leptosiphon androsaceus",36
151555283,"https://www.inaturalist.org/observations/151555283","https://inaturalist-open-data.s3.amazonaws.com/photos/261512514/medium.jpeg",37.1493888889,-121.7931083333,"Leptosiphon androsaceus",36
151565249,"https://www.inaturalist.org/observations/151565249","https://static.inaturalist.org/photos/261532248/medium.jpg",38.6372383333,-122.2865616667,"Leptosiphon androsaceus",0
151699651,"https://www.inaturalist.org/observations/151699651","https://inaturalist-open-data.s3.amazonaws.com/photos/261785651/medium.jpg",37.1493222222,-121.7930666667,"Leptosiphon androsaceus",36
151786566,"https://www.inaturalist.org/observations/151786566","https://static.inaturalist.org/photos/261948163/medium.jpeg",38.517525,-122.35995,"Leptosiphon androsaceus",50
152188890,"https://www.inaturalist.org/observations/152188890","https://inaturalist-open-data.s3.amazonaws.com/photos/262690440/medium.jpg",37.1493933333,-121.7931716667,"Leptosiphon androsaceus",36
152573963,"https://www.inaturalist.org/observations/152573963","https://inaturalist-open-data.s3.amazonaws.com/photos/263403638/medium.jpg",37.9074166667,-121.9160216667,"Leptosiphon androsaceus",2
152683612,"https://www.inaturalist.org/observations/152683612","https://static.inaturalist.org/photos/263606630/medium.jpg",37.1493195,-121.793075,"Leptosiphon androsaceus",36
152799854,"https://www.inaturalist.org/observations/152799854","https://inaturalist-open-data.s3.amazonaws.com/photos/263814155/medium.jpeg",37.2081833333,-121.8024666667,"Leptosiphon androsaceus",16
153108901,"https://www.inaturalist.org/observations/153108901","https://static.inaturalist.org/photos/264398536/medium.jpg",37.149325,-121.7930966667,"Leptosiphon androsaceus",36
153117108,"https://www.inaturalist.org/observations/153117108","https://inaturalist-open-data.s3.amazonaws.com/photos/264415725/medium.jpg",37.14935,-121.7930966667,"Leptosiphon androsaceus",36
153367449,"https://www.inaturalist.org/observations/153367449","https://static.inaturalist.org/photos/264914681/medium.jpg",37.3667866274,-122.181229371,"Leptosiphon androsaceus",38
153751485,"https://www.inaturalist.org/observations/153751485","https://inaturalist-open-data.s3.amazonaws.com/photos/265588523/medium.jpg",37.9079984684,-121.9160413724,"Leptosiphon androsaceus",2
153886707,"https://www.inaturalist.org/observations/153886707","https://inaturalist-open-data.s3.amazonaws.com/photos/265842539/medium.jpg",37.9108616667,-121.9155416667,"Leptosiphon androsaceus",2
153897912,"https://www.inaturalist.org/observations/153897912","https://inaturalist-open-data.s3.amazonaws.com/photos/265864089/medium.jpeg",37.1493916667,-121.7930972222,"Leptosiphon androsaceus",36
153999887,"https://www.inaturalist.org/observations/153999887","https://inaturalist-open-data.s3.amazonaws.com/photos/266046102/medium.jpg",37.2083283333,-121.8026116667,"Leptosiphon androsaceus",16
154002280,"https://www.inaturalist.org/observations/154002280","https://inaturalist-open-data.s3.amazonaws.com/photos/266050481/medium.jpg",37.4016883333,-122.2150333333,"Leptosiphon androsaceus",3
154020334,"https://www.inaturalist.org/observations/154020334","https://static.inaturalist.org/photos/266079119/medium.jpg",38.438725,-122.5055083333,"Leptosiphon androsaceus",0
154036214,"https://www.inaturalist.org/observations/154036214","https://inaturalist-open-data.s3.amazonaws.com/photos/266115031/medium.jpg",37.5072366726,-122.3430716667,"Leptosiphon androsaceus",55
154193689,"https://www.inaturalist.org/observations/154193689","https://inaturalist-open-data.s3.amazonaws.com/photos/266398952/medium.jpg",38.8047766925,-122.2328994761,"Leptosiphon androsaceus",0
154198542,"https://www.inaturalist.org/observations/154198542","https://static.inaturalist.org/photos/266409579/medium.jpeg",37.1492833333,-121.7930805556,"Leptosiphon androsaceus",36
154342560,"https://www.inaturalist.org/observations/154342560","https://static.inaturalist.org/photos/266675243/medium.jpg",37.3668166667,-122.1812133333,"Leptosiphon androsaceus",38
154365576,"https://www.inaturalist.org/observations/154365576","https://inaturalist-open-data.s3.amazonaws.com/photos/266717917/medium.jpeg",37.1826507,-121.8121186,"Leptosiphon androsaceus",30
154377187,"https://www.inaturalist.org/observations/154377187","https://inaturalist-open-data.s3.amazonaws.com/photos/266740356/medium.jpg",37.4003033333,-122.2112583333,"Leptosiphon androsaceus",3
154500381,"https://www.inaturalist.org/observations/154500381","https://inaturalist-open-data.s3.amazonaws.com/photos/266964992/medium.jpg",38.0468028333,-122.6217833333,"Leptosiphon androsaceus",9
154522714,"https://www.inaturalist.org/observations/154522714","https://inaturalist-open-data.s3.amazonaws.com/photos/267008496/medium.jpg",37.1826527778,-121.8121416667,"Leptosiphon androsaceus",30
154563632,"https://www.inaturalist.org/observations/154563632","https://static.inaturalist.org/photos/267081045/medium.jpg",37.5913762042,-121.64080975,"Leptosiphon androsaceus",0
154630172,"https://www.inaturalist.org/observations/154630172","https://inaturalist-open-data.s3.amazonaws.com/photos/267200601/medium.jpg",37.1493111667,-121.793105,"Leptosiphon androsaceus",36
154651722,"https://www.inaturalist.org/observations/154651722","https://static.inaturalist.org/photos/267243429/medium.jpg",38.6364950026,-122.2862466667,"Leptosiphon androsaceus",0
154715960,"https://www.inaturalist.org/observations/154715960","https://inaturalist-open-data.s3.amazonaws.com/photos/267357776/medium.jpg",38.0680144,-122.5743206,"Leptosiphon androsaceus",0
154748799,"https://www.inaturalist.org/observations/154748799","https://static.inaturalist.org/photos/267417374/medium.jpg",38.8716755994,-123.0572498684,"Leptosiphon androsaceus",0
154766637,"https://www.inaturalist.org/observations/154766637","https://inaturalist-open-data.s3.amazonaws.com/photos/267449722/medium.jpg",37.9074633333,-121.9160916667,"Leptosiphon androsaceus",2
154775455,"https://www.inaturalist.org/observations/154775455","https://inaturalist-open-data.s3.amazonaws.com/photos/267466140/medium.jpg",36.6322883333,-121.698495,"Leptosiphon androsaceus",53
154782959,"https://www.inaturalist.org/observations/154782959","https://inaturalist-open-data.s3.amazonaws.com/photos/267480426/medium.jpg",38.047,-122.62182,"Leptosiphon androsaceus",9
154829988,"https://www.inaturalist.org/observations/154829988","https://static.inaturalist.org/photos/267565643/medium.jpg",37.90748,-121.91607,"Leptosiphon androsaceus",2
154885791,"https://www.inaturalist.org/observations/154885791","https://inaturalist-open-data.s3.amazonaws.com/photos/267668052/medium.jpg",38.0463805,-122.62188,"Leptosiphon androsaceus",9
154896023,"https://www.inaturalist.org/observations/154896023","https://inaturalist-open-data.s3.amazonaws.com/photos/267687371/medium.jpeg",37.2085266113,-121.803314209,"Leptosiphon androsaceus",16
154898157,"https://www.inaturalist.org/observations/154898157","https://inaturalist-open-data.s3.amazonaws.com/photos/267691294/medium.jpg",37.2066033333,-121.7904533333,"Leptosiphon androsaceus",34
154908196,"https://www.inaturalist.org/observations/154908196","https://inaturalist-open-data.s3.amazonaws.com/photos/267710839/medium.jpg",37.1493305,-121.7930916667,"Leptosiphon androsaceus",36
154919519,"https://www.inaturalist.org/observations/154919519","https://inaturalist-open-data.s3.amazonaws.com/photos/267725659/medium.jpg",37.9017441591,-121.9197194149,"Leptosiphon androsaceus",2
154919532,"https://www.inaturalist.org/observations/154919532","https://inaturalist-open-data.s3.amazonaws.com/photos/267725924/medium.jpg",37.9111840157,-121.9157320072,"Leptosiphon androsaceus",2
154930985,"https://www.inaturalist.org/observations/154930985","https://inaturalist-open-data.s3.amazonaws.com/photos/267753936/medium.jpg",37.1493388333,-121.7931133333,"Leptosiphon androsaceus",36
154965352,"https://www.inaturalist.org/observations/154965352","https://inaturalist-open-data.s3.amazonaws.com/photos/267815747/medium.jpeg",37.1821061162,-121.80448167,"Leptosiphon androsaceus",0
154981707,"https://www.inaturalist.org/observations/154981707","https://inaturalist-open-data.s3.amazonaws.com/photos/267843762/medium.jpg",37.17475,-121.4960866667,"Leptosiphon androsaceus",24
155015348,"https://www.inaturalist.org/observations/155015348","https://inaturalist-open-data.s3.amazonaws.com/photos/268264808/medium.jpeg",38.5086975098,-122.0981140137,"Leptosiphon androsaceus",49
155015903,"https://www.inaturalist.org/observations/155015903","https://inaturalist-open-data.s3.amazonaws.com/photos/267904807/medium.jpg",37.9062898938,-121.898211299,"Leptosiphon androsaceus",25
155022191,"https://www.inaturalist.org/observations/155022191","https://inaturalist-open-data.s3.amazonaws.com/photos/267915783/medium.jpg",37.1493322542,-121.7932356523,"Leptosiphon androsaceus",36
155026654,"https://www.inaturalist.org/observations/155026654","https://inaturalist-open-data.s3.amazonaws.com/photos/267923894/medium.jpeg",37.1493416667,-121.7930611111,"Leptosiphon androsaceus",36
155035277,"https://www.inaturalist.org/observations/155035277","https://inaturalist-open-data.s3.amazonaws.com/photos/267939132/medium.jpg",38.7856778402,-123.0358929377,"Leptosiphon androsaceus",41
155050658,"https://www.inaturalist.org/observations/155050658","https://inaturalist-open-data.s3.amazonaws.com/photos/267965709/medium.jpg",37.20663,-121.79042,"Leptosiphon androsaceus",34
155060972,"https://www.inaturalist.org/observations/155060972","https://inaturalist-open-data.s3.amazonaws.com/photos/267984962/medium.jpeg",37.5849914551,-121.6317977905,"Leptosiphon androsaceus",0
155108362,"https://www.inaturalist.org/observations/155108362","https://inaturalist-open-data.s3.amazonaws.com/photos/268075644/medium.jpg",37.887029091,-121.8992836417,"Leptosiphon androsaceus",0
155123028,"https://www.inaturalist.org/observations/155123028","https://static.inaturalist.org/photos/268103027/medium.jpeg",37.9036972222,-121.9182638889,"Leptosiphon androsaceus",2
155148041,"https://www.inaturalist.org/observations/155148041","https://inaturalist-open-data.s3.amazonaws.com/photos/268149357/medium.jpeg",37.9074760875,-121.916099626,"Leptosiphon androsaceus",2
155153022,"https://www.inaturalist.org/observations/155153022","https://static.inaturalist.org/photos/268157609/medium.jpeg",37.1826805556,-121.8121472222,"Leptosiphon androsaceus",30
